"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.11.2022","351,29","348,87","351,39","348,07","944,40K","0,76%"
"23.11.2022","348,64","344,79","350,78","344,79","1,94M","1,07%"
"22.11.2022","344,96","340,06","345,25","337,56","2,44M","1,98%"
"21.11.2022","338,25","342,94","344,25","337,62","1,96M","-1,58%"
"18.11.2022","343,69","345,66","348,63","341,33","2,74M","0,71%"
"17.11.2022","341,27","339,00","341,92","337,00","2,00M","-0,43%"
"16.11.2022","342,76","343,16","345,13","340,10","2,58M","-0,22%"
"15.11.2022","343,51","346,59","351,22","339,49","2,98M","1,22%"
"14.11.2022","339,37","336,74","344,51","336,02","2,35M","0,02%"
"11.11.2022","339,29","339,00","342,63","336,36","3,73M","0,60%"
"10.11.2022","337,27","331,18","337,40","329,16","3,25M","6,85%"
"09.11.2022","315,64","322,28","323,68","315,15","3,00M","-3,10%"
"08.11.2022","325,75","326,23","329,40","322,26","2,39M","0,19%"
"07.11.2022","325,13","322,45","325,80","317,71","2,74M","2,12%"
"04.11.2022","318,37","313,84","323,13","313,24","3,25M","2,98%"
"03.11.2022","309,17","315,12","316,77","308,60","2,86M","-3,33%"
"02.11.2022","319,82","331,42","333,00","319,63","3,05M","-4,01%"
"01.11.2022","333,19","332,22","333,64","327,09","3,66M","1,53%"
"31.10.2022","328,18","328,88","329,44","323,78","3,16M","-0,39%"
"28.10.2022","329,47","319,31","331,80","317,82","3,61M","3,16%"
"27.10.2022","319,37","316,18","323,08","314,06","4,34M","-0,04%"
"26.10.2022","319,51","312,29","324,45","312,29","5,27M","2,60%"
"25.10.2022","311,41","305,91","312,10","305,86","3,01M","1,90%"
"24.10.2022","305,60","304,52","307,00","300,50","3,17M","1,07%"
"21.10.2022","302,37","294,51","302,71","293,50","3,32M","2,06%"
"20.10.2022","296,28","297,75","302,73","295,61","2,30M","-0,50%"
"19.10.2022","297,76","295,46","299,64","294,79","1,80M","-0,87%"
"18.10.2022","300,38","303,17","303,70","296,55","3,08M","1,81%"
"17.10.2022","295,04","295,42","298,73","291,34","3,39M","2,20%"
"14.10.2022","288,69","295,86","298,62","287,84","3,09M","-1,79%"
"13.10.2022","293,96","277,28","295,43","276,87","3,31M","3,73%"
"12.10.2022","283,38","286,54","287,49","283,21","2,49M","-0,93%"
"11.10.2022","286,05","289,83","290,39","284,42","3,56M","-1,96%"
