"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.11.2022","213,79","211,38","213,97","211,38","1,99M","0,97%"
"23.11.2022","211,73","210,24","212,83","210,19","3,81M","0,67%"
"22.11.2022","210,33","207,54","210,46","205,38","5,27M","1,94%"
"21.11.2022","206,32","210,30","210,52","206,00","10,45M","-2,13%"
"18.11.2022","210,80","213,17","214,17","209,74","8,03M","-0,09%"
"17.11.2022","210,99","207,96","211,28","207,32","5,39M","0,40%"
"16.11.2022","210,14","208,58","210,89","208,22","6,07M","0,07%"
"15.11.2022","209,99","209,99","213,73","207,51","7,31M","1,51%"
"14.11.2022","206,86","203,50","209,17","203,21","5,79M","0,91%"
"11.11.2022","205,00","206,00","206,43","202,15","8,74M","-0,28%"
"10.11.2022","205,57","203,09","205,76","200,02","8,05M","6,00%"
"09.11.2022","193,93","200,70","201,33","193,32","7,32M","-3,89%"
"08.11.2022","201,78","201,66","204,12","199,74","6,94M","0,84%"
"07.11.2022","200,10","198,32","200,44","197,17","7,81M","1,58%"
"04.11.2022","196,98","197,00","201,45","195,34","9,68M","1,15%"
"03.11.2022","194,75","198,28","198,85","194,18","8,05M","-3,09%"
"02.11.2022","200,95","205,76","207,00","200,58","6,97M","-2,89%"
"01.11.2022","206,93","208,91","209,97","205,33","5,92M","-0,11%"
"31.10.2022","207,16","208,92","209,62","206,20","8,67M","-1,04%"
"28.10.2022","209,34","205,00","211,52","203,31","8,44M","2,47%"
"27.10.2022","204,29","203,32","206,32","201,59","7,94M","0,47%"
"26.10.2022","203,33","196,58","206,37","196,50","15,45M","4,60%"
"25.10.2022","194,38","190,87","195,23","190,72","11,91M","1,92%"
"24.10.2022","190,71","191,41","193,13","189,10","7,27M","0,18%"
"21.10.2022","190,37","185,80","190,95","185,05","7,57M","1,68%"
"20.10.2022","187,22","186,46","190,98","186,43","5,71M","0,43%"
"19.10.2022","186,41","185,49","187,64","184,76","4,92M","-0,41%"
"18.10.2022","187,17","189,49","190,19","185,74","5,18M","1,04%"
"17.10.2022","185,25","186,00","188,57","182,85","13,95M","1,44%"
"14.10.2022","182,62","186,79","187,13","182,07","6,45M","-1,10%"
"13.10.2022","184,66","175,00","185,37","174,60","8,36M","3,60%"
"12.10.2022","178,24","179,09","180,59","178,22","4,85M","-0,50%"
"11.10.2022","179,14","180,37","181,64","178,19","6,29M","-1,67%"
"10.10.2022","182,18","184,13","184,78","180,90","4,72M","-0,90%"
"07.10.2022","183,83","183,45","184,61","181,93","5,61M","-0,95%"
"06.10.2022","185,59","186,65","188,05","185,25","5,16M","-1,11%"
"05.10.2022","187,67","183,34","188,82","182,36","6,11M","1,09%"
"04.10.2022","185,65","185,05","186,21","183,07","7,08M","2,20%"
"03.10.2022","181,65","179,34","183,36","178,15","8,84M","2,25%"
"30.09.2022","177,65","180,06","182,92","177,60","9,45M","-1,34%"
"29.09.2022","180,06","178,83","182,24","178,73","9,11M","0,49%"
"28.09.2022","179,18","177,26","180,10","174,83","9,74M","0,74%"
"27.09.2022","177,87","182,51","184,85","177,02","9,80M","-1,51%"
"26.09.2022","180,59","183,04","184,50","179,90","9,91M","-1,83%"
"23.09.2022","183,96","183,47","184,58","182,23","10,76M","-0,98%"
"22.09.2022","185,79","186,35","187,21","184,66","6,60M","-0,66%"
"21.09.2022","187,02","192,53","193,09","187,00","6,71M","-2,63%"
"20.09.2022","192,07","191,10","193,03","190,29","5,29M","-0,55%"
"19.09.2022","193,13","191,59","193,99","190,71","8,13M","-0,09%"
"16.09.2022","193,30","190,22","193,82","188,22","9,40M","-1,06%"
"15.09.2022","195,37","198,09","200,31","194,53","6,10M","-2,03%"
"14.09.2022","199,41","200,00","200,88","198,06","4,63M","-0,13%"
